"STATE","COUNTY","STNAME","CTYNAME","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","H_MALE","H_FEMALE","white_alone_perc","black_alone_perc","american_indian_alone_perc","asian_alone_perc","hispanic_perc"
35,61,"New Mexico","Valencia County",76688,38437,38251,33956,33881,798,550,2470,2464,260,352,23570,23303,0.884584289588984,0.0175777175046943,0.0643386188191112,0.00798038806592948,0.611216878781556
36,1,"New York","Albany County",305506,147818,157688,112279,119259,20431,22665,456,474,10189,10696,9293,9809,0.757883642219793,0.141064332615399,0.00304413006618528,0.0683619961637415,0.0625257769078185
36,3,"New York","Allegany County",46091,23418,22673,22325,21723,403,261,77,70,266,311,417,367,0.955674643639756,0.0144062832223211,0.00318934282180903,0.0125187129808422,0.0170098283829815
36,5,"New York","Bronx County",1418207,669548,748659,302291,331989,288327,330229,19830,21489,31392,33294,376695,422885,0.447240776558006,0.436153537530135,0.0291346749804507,0.0456111131872851,0.563796399256244
36,7,"New York","Broome County",190488,93845,96643,80355,83118,6024,6092,246,273,4203,4221,4299,4177,0.858180042837344,0.0636050564864978,0.00272458107597329,0.0442232581579942,0.0444962412330435
36,9,"New York","Cattaraugus County",76117,37853,38264,34730,35189,682,441,1296,1446,308,337,829,806,0.918572723570293,0.0147536030058988,0.0360234901533166,0.0084737969179027,0.0214800898616603
36,11,"New York","Cayuga County",76576,39286,37290,35365,35158,2576,824,227,144,208,314,1484,917,0.920954346009193,0.0444003343083995,0.00484486000835771,0.00681675720852486,0.0313544713748433
36,13,"New York","Chautauqua County",126903,62574,64329,58203,60516,2076,1469,462,463,394,479,5089,4775,0.935509798822723,0.027934721795387,0.00728903178017856,0.00687926999361717,0.0777286588969528
36,15,"New York","Chemung County",83456,41328,42128,35777,37910,3383,2016,167,144,607,640,1520,1180,0.882944305981595,0.0646927722392638,0.00372651457055215,0.0149420053680982,0.0323523773006135
36,17,"New York","Chenango County",47207,23657,23550,22739,22787,287,197,106,91,137,142,587,500,0.964390874234753,0.0102527167581079,0.00417310992013896,0.00591014044527295,0.0230262461075688
36,19,"New York","Clinton County",80485,41357,39128,37227,36962,2857,700,189,145,466,690,1539,863,0.921774243647885,0.0441945704168479,0.00414984158538858,0.0143629247685904,0.0298440703236628
36,21,"New York","Columbia County",59461,29736,29725,26575,26944,1804,1357,110,88,545,661,1606,1383,0.900068952758951,0.0531608953768016,0.00332991372496258,0.0202822017793175,0.0502682430500664
36,23,"New York","Cortland County",47581,23288,24293,21980,22978,553,440,84,89,192,312,681,673,0.944872953489838,0.0208696748702213,0.00363590508816544,0.0105924633782392,0.0284567369328093
36,25,"New York","Delaware County",44135,22347,21788,21116,20789,600,359,85,81,213,260,899,862,0.949473207205166,0.0217287866772403,0.00376118726634191,0.0107171179336128,0.0399003058796873
36,27,"New York","Dutchess County",294218,146237,147981,117696,120638,18604,16852,717,719,5189,5734,19668,18292,0.810059207798299,0.120509282232902,0.00488073469332264,0.0371255327682195,0.129019978383376
36,29,"New York","Erie County",918702,444635,474067,355022,373538,59438,68890,3249,3586,17228,18001,25786,27183,0.793031908061591,0.139684032471901,0.00743984447622842,0.0383464932045429,0.057656345583225
36,31,"New York","Essex County",36885,19063,17822,17610,17239,910,111,133,60,129,160,822,290,0.944801409787176,0.027680628981971,0.00523247932763996,0.00783516334553342,0.0301477565405992
36,33,"New York","Franklin County",50022,27540,22482,22098,19955,3090,125,1862,1934,124,117,1407,404,0.840690096357603,0.0642717204430051,0.0758866098916477,0.00481788013274159,0.036204070209108
36,35,"New York","Fulton County",53383,26523,26860,25045,25724,774,424,90,75,161,221,977,884,0.951033100425229,0.0224416012588277,0.00309087162579848,0.00715583612760617,0.0348612854279452
36,37,"New York","Genesee County",57280,28538,28742,26339,26865,1095,730,334,361,186,195,1111,878,0.928840782122905,0.0318610335195531,0.0121333798882682,0.00665153631284916,0.0347241620111732
36,39,"New York","Greene County",47188,24580,22608,21347,21030,2235,655,113,113,331,291,1775,1179,0.898046113418666,0.0612443841654658,0.00478935322539629,0.0131813172840553,0.062600661185047
36,41,"New York","Hamilton County",4416,2208,2208,2126,2122,31,16,9,6,12,22,39,48,0.96195652173913,0.010643115942029,0.00339673913043478,0.00769927536231884,0.0197010869565217
36,43,"New York","Herkimer County",61319,30392,30927,29166,29713,519,412,94,112,158,201,783,631,0.960208092108482,0.0151828960028702,0.00335948074821833,0.00585462907092418,0.0230597367863142
36,45,"New York","Jefferson County",109834,57648,52186,49607,46489,4744,2721,413,342,982,909,5008,3553,0.874920334322705,0.0679662035435293,0.00687400986943934,0.0172168909445163,0.0779448986652585
36,47,"New York","Kings County",2559903,1212194,1347709,625435,648886,384269,480571,11725,11683,156021,168168,234426,249253,0.497800502597169,0.337840926003837,0.00914409647553052,0.126641126636439,0.188944268591427
36,49,"New York","Lewis County",26296,13338,12958,12955,12628,108,81,50,34,49,56,294,169,0.972885609978704,0.00718740492850624,0.00319440219044722,0.00399300273805902,0.017607240644965
36,51,"New York","Livingston County",62914,31613,31301,29140,29687,1405,454,180,110,364,496,1427,1024,0.935038306259338,0.0295482722446514,0.00460946689131195,0.0136694535397527,0.0389579425882951
36,53,"New York","Madison County",70941,35016,35925,33108,34010,761,675,236,294,307,386,849,805,0.946110147869356,0.020242173073399,0.00747099702569741,0.00976868101661944,0.0233151492084972
36,55,"New York","Monroe County",741770,357579,384191,277079,292855,55858,64643,1434,1649,13085,14274,33150,34938,0.76834328700271,0.162450624856762,0.00415627485608747,0.0368834005149844,0.0917912560497189
36,57,"New York","Montgomery County",49221,24277,24944,22498,23253,863,738,144,163,201,254,3729,3675,0.929501635480791,0.0325267670303326,0.00623717518945166,0.00924402186058796,0.150423599683062
36,59,"New York","Nassau County",1356924,661741,695183,488629,507192,83490,93939,3928,3530,71693,75908,120248,116977,0.733881190103499,0.130758244382147,0.00549625476445254,0.108776173168136,0.174825561343156
36,61,"New York","New York County",1628706,771478,857228,508161,543563,134515,155208,9284,9835,92344,116883,198635,218124,0.645742079908836,0.177885388768753,0.0117387668492656,0.128462104271735,0.255883505064757
36,63,"New York","Niagara County",209281,102128,107153,89528,93679,7518,8031,1159,1253,1087,1291,3484,3486,0.875411528041246,0.0742972367295646,0.0115251742872024,0.0113627132897874,0.0333045044700666
36,65,"New York","Oneida County",228671,113833,114838,96769,99798,9324,6967,436,375,4545,4943,7396,6687,0.859606159066956,0.0712420901644721,0.00354658002107832,0.041491925080137,0.0615862964696004
36,67,"New York","Onondaga County",460528,222080,238448,178038,190212,26199,29115,2085,2223,8487,9261,11795,12007,0.799625647083348,0.120109960740715,0.0093544800750443,0.0385383733453775,0.0516841538408088
36,69,"New York","Ontario County",109777,53664,56113,50054,52584,1575,1452,219,195,701,834,2973,2641,0.934968162729898,0.0275740820026053,0.0037712817803365,0.0139828925913443,0.0511400384415679
36,71,"New York","Orange County",384940,193030,191910,153929,153349,25733,25081,1684,1606,5566,5856,41765,41237,0.798249077778355,0.132004987790305,0.00854678651218372,0.0296721566997454,0.215623214007378
36,73,"New York","Orleans County",40352,20124,20228,17991,18386,1390,1177,164,144,121,120,1081,985,0.901491871530531,0.0636151863600317,0.00763283108643933,0.00597244250594766,0.0511994448850119
36,75,"New York","Oswego County",117124,58699,58425,56301,56075,792,629,280,297,321,485,1616,1602,0.959461767016154,0.0121324408319388,0.00492640278679007,0.00688159557392166,0.0274751545370718
36,77,"New York","Otsego County",59493,28827,30666,27040,28895,790,715,99,69,372,498,1139,1147,0.940194644748122,0.0252970937757383,0.00282386163078009,0.0146235691593969,0.0384246886188291
36,79,"New York","Putnam County",98320,49061,49259,44756,45015,2038,1839,213,240,986,1248,8358,7768,0.913049227013832,0.0394324654190399,0.00460740439381611,0.0227217249796583,0.164015459723352
36,81,"New York","Queens County",2253858,1093889,1159969,536251,541904,214048,252167,15448,14078,292194,314163,318271,316663,0.478359772443517,0.206851984463972,0.0131002041832272,0.269030702022931,0.281709850398739
